,Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Data Science,Troubleshooting skills,Graphics Designing,Role
0,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
1,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,6
2,6,1,4,4,4,4,4,4,4,4,4,4,4,4,4,6
3,6,0,4,4,4,4,4,4,4,4,4,4,4,4,4,6
4,6,3,4,4,4,4,4,4,4,4,4,4,4,4,4,6
5,6,2,4,4,4,4,4,4,4,4,4,4,4,4,4,6
6,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6
7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
8,6,1,5,5,5,5,5,5,5,5,5,5,5,5,5,6
9,6,0,5,5,5,5,5,5,5,5,5,5,5,5,5,6
10,6,3,5,5,5,5,5,5,5,5,5,5,5,5,5,6
11,6,2,5,5,5,5,5,5,5,5,5,5,5,5,5,6
12,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6
13,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,6
14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
15,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,6
16,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,6
17,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6
18,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6
19,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6
20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
22,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6
23,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6
24,6,4,3,3,3,3,3,3,3,3,3,3,3,3,3,6
25,6,5,3,3,3,3,3,3,3,3,3,3,3,3,3,6
26,6,1,3,3,3,3,3,3,3,3,3,3,3,3,3,6
27,6,0,3,3,3,3,3,3,3,3,3,3,3,3,3,6
28,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6
29,6,2,3,3,3,3,3,3,3,3,3,3,3,3,3,6
30,6,4,2,2,2,2,2,2,2,2,2,2,2,2,2,6
31,6,5,2,2,2,2,2,2,2,2,2,2,2,2,2,6
32,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,6
33,6,0,2,2,2,2,2,2,2,2,2,2,2,2,2,6
34,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,6
35,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6
36,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
37,6,4,5,4,4,4,4,4,4,4,4,4,4,4,4,6
38,6,4,1,4,4,4,4,4,4,4,4,4,4,4,4,6
39,6,4,0,4,4,4,4,4,4,4,4,4,4,4,4,6
40,6,4,3,4,4,4,4,4,4,4,4,4,4,4,4,6
41,6,4,2,4,4,4,4,4,4,4,4,4,4,4,4,6
42,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,6
43,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
44,6,5,1,5,5,5,5,5,5,5,5,5,5,5,5,6
45,6,5,0,5,5,5,5,5,5,5,5,5,5,5,5,6
46,6,5,3,5,5,5,5,5,5,5,5,5,5,5,5,6
47,6,5,2,5,5,5,5,5,5,5,5,5,5,5,5,6
48,6,1,4,1,1,1,1,1,1,1,1,1,1,1,1,6
49,6,1,5,1,1,1,1,1,1,1,1,1,1,1,1,6
50,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
51,6,1,0,1,1,1,1,1,1,1,1,1,1,1,1,6
52,6,1,3,1,1,1,1,1,1,1,1,1,1,1,1,6
53,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,6
54,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6
55,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6
56,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
57,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
58,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6
59,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6
60,6,3,4,3,3,3,3,3,3,3,3,3,3,3,3,6
61,6,3,5,3,3,3,3,3,3,3,3,3,3,3,3,6
62,6,3,1,3,3,3,3,3,3,3,3,3,3,3,3,6
63,6,3,0,3,3,3,3,3,3,3,3,3,3,3,3,6
64,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6
65,6,3,2,3,3,3,3,3,3,3,3,3,3,3,3,6
66,6,2,4,2,2,2,2,2,2,2,2,2,2,2,2,6
67,6,2,5,2,2,2,2,2,2,2,2,2,2,2,2,6
68,6,2,1,2,2,2,2,2,2,2,2,2,2,2,2,6
69,6,2,0,2,2,2,2,2,2,2,2,2,2,2,2,6
70,6,2,3,2,2,2,2,2,2,2,2,2,2,2,2,6
71,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6
72,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
73,6,4,4,5,4,4,4,4,4,4,4,4,4,4,4,6
74,6,4,4,1,4,4,4,4,4,4,4,4,4,4,4,6
75,6,4,4,0,4,4,4,4,4,4,4,4,4,4,4,6
76,6,4,4,3,4,4,4,4,4,4,4,4,4,4,4,6
77,6,4,4,2,4,4,4,4,4,4,4,4,4,4,4,6
78,6,5,5,4,5,5,5,5,5,5,5,5,5,5,5,6
79,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
80,6,5,5,1,5,5,5,5,5,5,5,5,5,5,5,6
81,6,5,5,0,5,5,5,5,5,5,5,5,5,5,5,6
82,6,5,5,3,5,5,5,5,5,5,5,5,5,5,5,6
83,6,5,5,2,5,5,5,5,5,5,5,5,5,5,5,6
84,6,1,1,4,1,1,1,1,1,1,1,1,1,1,1,6
85,6,1,1,5,1,1,1,1,1,1,1,1,1,1,1,6
86,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
87,6,1,1,0,1,1,1,1,1,1,1,1,1,1,1,6
88,6,1,1,3,1,1,1,1,1,1,1,1,1,1,1,6
89,6,1,1,2,1,1,1,1,1,1,1,1,1,1,1,6
90,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6
91,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6
92,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
93,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
94,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6
95,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6
96,6,3,3,4,3,3,3,3,3,3,3,3,3,3,3,6
97,6,3,3,5,3,3,3,3,3,3,3,3,3,3,3,6
98,6,3,3,1,3,3,3,3,3,3,3,3,3,3,3,6
99,6,3,3,0,3,3,3,3,3,3,3,3,3,3,3,6
100,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6
101,6,3,3,2,3,3,3,3,3,3,3,3,3,3,3,6
102,6,2,2,4,2,2,2,2,2,2,2,2,2,2,2,6
103,6,2,2,5,2,2,2,2,2,2,2,2,2,2,2,6
104,6,2,2,1,2,2,2,2,2,2,2,2,2,2,2,6
105,6,2,2,0,2,2,2,2,2,2,2,2,2,2,2,6
106,6,2,2,3,2,2,2,2,2,2,2,2,2,2,2,6
107,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6
108,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
109,6,4,4,4,5,4,4,4,4,4,4,4,4,4,4,6
110,6,4,4,4,1,4,4,4,4,4,4,4,4,4,4,6
111,6,4,4,4,0,4,4,4,4,4,4,4,4,4,4,6
112,6,4,4,4,3,4,4,4,4,4,4,4,4,4,4,6
113,6,4,4,4,2,4,4,4,4,4,4,4,4,4,4,6
114,6,5,5,5,4,5,5,5,5,5,5,5,5,5,5,6
115,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
116,6,5,5,5,1,5,5,5,5,5,5,5,5,5,5,6
117,6,5,5,5,0,5,5,5,5,5,5,5,5,5,5,6
118,6,5,5,5,3,5,5,5,5,5,5,5,5,5,5,6
119,6,5,5,5,2,5,5,5,5,5,5,5,5,5,5,6
120,6,1,1,1,4,1,1,1,1,1,1,1,1,1,1,6
121,6,1,1,1,5,1,1,1,1,1,1,1,1,1,1,6
122,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
123,6,1,1,1,0,1,1,1,1,1,1,1,1,1,1,6
124,6,1,1,1,3,1,1,1,1,1,1,1,1,1,1,6
125,6,1,1,1,2,1,1,1,1,1,1,1,1,1,1,6
126,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6
127,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6
128,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
129,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
130,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
131,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6
132,6,3,3,3,4,3,3,3,3,3,3,3,3,3,3,6
133,6,3,3,3,5,3,3,3,3,3,3,3,3,3,3,6
134,6,3,3,3,1,3,3,3,3,3,3,3,3,3,3,6
135,6,3,3,3,0,3,3,3,3,3,3,3,3,3,3,6
136,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6
137,6,3,3,3,2,3,3,3,3,3,3,3,3,3,3,6
138,6,2,2,2,4,2,2,2,2,2,2,2,2,2,2,6
139,6,2,2,2,5,2,2,2,2,2,2,2,2,2,2,6
140,6,2,2,2,1,2,2,2,2,2,2,2,2,2,2,6
141,6,2,2,2,0,2,2,2,2,2,2,2,2,2,2,6
142,6,2,2,2,3,2,2,2,2,2,2,2,2,2,2,6
143,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6
144,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
145,6,4,4,4,4,5,4,4,4,4,4,4,4,4,4,6
146,6,4,4,4,4,1,4,4,4,4,4,4,4,4,4,6
147,6,4,4,4,4,0,4,4,4,4,4,4,4,4,4,6
148,6,4,4,4,4,3,4,4,4,4,4,4,4,4,4,6
149,6,4,4,4,4,2,4,4,4,4,4,4,4,4,4,6
150,6,5,5,5,5,4,5,5,5,5,5,5,5,5,5,6
151,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
152,6,5,5,5,5,1,5,5,5,5,5,5,5,5,5,6
153,6,5,5,5,5,0,5,5,5,5,5,5,5,5,5,6
154,6,5,5,5,5,3,5,5,5,5,5,5,5,5,5,6
155,6,5,5,5,5,2,5,5,5,5,5,5,5,5,5,6
156,6,1,1,1,1,4,1,1,1,1,1,1,1,1,1,6
157,6,1,1,1,1,5,1,1,1,1,1,1,1,1,1,6
158,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
159,6,1,1,1,1,0,1,1,1,1,1,1,1,1,1,6
160,6,1,1,1,1,3,1,1,1,1,1,1,1,1,1,6
161,6,1,1,1,1,2,1,1,1,1,1,1,1,1,1,6
162,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6
163,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6
164,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
165,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
166,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6
167,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6
168,6,3,3,3,3,4,3,3,3,3,3,3,3,3,3,6
169,6,3,3,3,3,5,3,3,3,3,3,3,3,3,3,6
170,6,3,3,3,3,1,3,3,3,3,3,3,3,3,3,6
171,6,3,3,3,3,0,3,3,3,3,3,3,3,3,3,6
172,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6
173,6,3,3,3,3,2,3,3,3,3,3,3,3,3,3,6
174,6,2,2,2,2,4,2,2,2,2,2,2,2,2,2,6
175,6,2,2,2,2,5,2,2,2,2,2,2,2,2,2,6
176,6,2,2,2,2,1,2,2,2,2,2,2,2,2,2,6
177,6,2,2,2,2,0,2,2,2,2,2,2,2,2,2,6
178,6,2,2,2,2,3,2,2,2,2,2,2,2,2,2,6
179,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6
180,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
181,6,4,4,4,4,4,5,4,4,4,4,4,4,4,4,6
182,6,4,4,4,4,4,1,4,4,4,4,4,4,4,4,6
183,6,4,4,4,4,4,0,4,4,4,4,4,4,4,4,6
184,6,4,4,4,4,4,3,4,4,4,4,4,4,4,4,6
185,6,4,4,4,4,4,2,4,4,4,4,4,4,4,4,6
186,6,5,5,5,5,5,4,5,5,5,5,5,5,5,5,6
187,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
188,6,5,5,5,5,5,1,5,5,5,5,5,5,5,5,6
189,6,5,5,5,5,5,0,5,5,5,5,5,5,5,5,6
190,6,5,5,5,5,5,3,5,5,5,5,5,5,5,5,6
191,6,5,5,5,5,5,2,5,5,5,5,5,5,5,5,6
192,6,1,1,1,1,1,4,1,1,1,1,1,1,1,1,6
193,6,1,1,1,1,1,5,1,1,1,1,1,1,1,1,6
194,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
195,6,1,1,1,1,1,0,1,1,1,1,1,1,1,1,6
196,6,1,1,1,1,1,3,1,1,1,1,1,1,1,1,6
197,6,1,1,1,1,1,2,1,1,1,1,1,1,1,1,6
198,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6
199,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6
200,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
201,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
202,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6
203,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6
204,6,3,3,3,3,3,4,3,3,3,3,3,3,3,3,6
205,6,3,3,3,3,3,5,3,3,3,3,3,3,3,3,6
206,6,3,3,3,3,3,1,3,3,3,3,3,3,3,3,6
207,6,3,3,3,3,3,0,3,3,3,3,3,3,3,3,6
208,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6
209,6,3,3,3,3,3,2,3,3,3,3,3,3,3,3,6
210,6,2,2,2,2,2,4,2,2,2,2,2,2,2,2,6
211,6,2,2,2,2,2,5,2,2,2,2,2,2,2,2,6
212,6,2,2,2,2,2,1,2,2,2,2,2,2,2,2,6
213,6,2,2,2,2,2,0,2,2,2,2,2,2,2,2,6
214,6,2,2,2,2,2,3,2,2,2,2,2,2,2,2,6
215,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6
216,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
217,6,4,4,4,4,4,4,5,4,4,4,4,4,4,4,6
218,6,4,4,4,4,4,4,1,4,4,4,4,4,4,4,6
219,6,4,4,4,4,4,4,0,4,4,4,4,4,4,4,6
220,6,4,4,4,4,4,4,3,4,4,4,4,4,4,4,6
221,6,4,4,4,4,4,4,2,4,4,4,4,4,4,4,6
222,6,5,5,5,5,5,5,4,5,5,5,5,5,5,5,6
223,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
224,6,5,5,5,5,5,5,1,5,5,5,5,5,5,5,6
225,6,5,5,5,5,5,5,0,5,5,5,5,5,5,5,6
226,6,5,5,5,5,5,5,3,5,5,5,5,5,5,5,6
227,6,5,5,5,5,5,5,2,5,5,5,5,5,5,5,6
228,6,1,1,1,1,1,1,4,1,1,1,1,1,1,1,6
229,6,1,1,1,1,1,1,5,1,1,1,1,1,1,1,6
230,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
231,6,1,1,1,1,1,1,0,1,1,1,1,1,1,1,6
232,6,1,1,1,1,1,1,3,1,1,1,1,1,1,1,6
233,6,1,1,1,1,1,1,2,1,1,1,1,1,1,1,6
234,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6
235,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6
236,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
237,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
238,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6
239,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6
240,6,3,3,3,3,3,3,4,3,3,3,3,3,3,3,6
241,6,3,3,3,3,3,3,5,3,3,3,3,3,3,3,6
242,6,3,3,3,3,3,3,1,3,3,3,3,3,3,3,6
243,6,3,3,3,3,3,3,0,3,3,3,3,3,3,3,6
244,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6
245,6,3,3,3,3,3,3,2,3,3,3,3,3,3,3,6
246,6,2,2,2,2,2,2,4,2,2,2,2,2,2,2,6
247,6,2,2,2,2,2,2,5,2,2,2,2,2,2,2,6
248,6,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6
249,6,2,2,2,2,2,2,0,2,2,2,2,2,2,2,6
250,6,2,2,2,2,2,2,3,2,2,2,2,2,2,2,6
251,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6
252,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
253,6,4,4,4,4,4,4,4,5,4,4,4,4,4,4,6
254,6,4,4,4,4,4,4,4,1,4,4,4,4,4,4,6
255,6,4,4,4,4,4,4,4,0,4,4,4,4,4,4,6
256,6,4,4,4,4,4,4,4,3,4,4,4,4,4,4,6
257,6,4,4,4,4,4,4,4,2,4,4,4,4,4,4,6
258,6,5,5,5,5,5,5,5,4,5,5,5,5,5,5,6
259,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
260,6,5,5,5,5,5,5,5,1,5,5,5,5,5,5,6
261,6,5,5,5,5,5,5,5,0,5,5,5,5,5,5,6
262,6,5,5,5,5,5,5,5,3,5,5,5,5,5,5,6
263,6,5,5,5,5,5,5,5,2,5,5,5,5,5,5,6
264,6,1,1,1,1,1,1,1,4,1,1,1,1,1,1,6
265,6,1,1,1,1,1,1,1,5,1,1,1,1,1,1,6
266,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
267,6,1,1,1,1,1,1,1,0,1,1,1,1,1,1,6
268,6,1,1,1,1,1,1,1,3,1,1,1,1,1,1,6
269,6,1,1,1,1,1,1,1,2,1,1,1,1,1,1,6
270,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6
271,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6
272,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
273,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
274,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
275,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6
276,6,3,3,3,3,3,3,3,4,3,3,3,3,3,3,6
277,6,3,3,3,3,3,3,3,5,3,3,3,3,3,3,6
278,6,3,3,3,3,3,3,3,1,3,3,3,3,3,3,6
279,6,3,3,3,3,3,3,3,0,3,3,3,3,3,3,6
280,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6
281,6,3,3,3,3,3,3,3,2,3,3,3,3,3,3,6
282,6,2,2,2,2,2,2,2,4,2,2,2,2,2,2,6
283,6,2,2,2,2,2,2,2,5,2,2,2,2,2,2,6
284,6,2,2,2,2,2,2,2,1,2,2,2,2,2,2,6
285,6,2,2,2,2,2,2,2,0,2,2,2,2,2,2,6
286,6,2,2,2,2,2,2,2,3,2,2,2,2,2,2,6
287,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6
288,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
289,6,4,4,4,4,4,4,4,4,5,4,4,4,4,4,6
290,6,4,4,4,4,4,4,4,4,1,4,4,4,4,4,6
291,6,4,4,4,4,4,4,4,4,0,4,4,4,4,4,6
292,6,4,4,4,4,4,4,4,4,3,4,4,4,4,4,6
293,6,4,4,4,4,4,4,4,4,2,4,4,4,4,4,6
294,6,5,5,5,5,5,5,5,5,4,5,5,5,5,5,6
295,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
296,6,5,5,5,5,5,5,5,5,1,5,5,5,5,5,6
297,6,5,5,5,5,5,5,5,5,0,5,5,5,5,5,6
298,6,5,5,5,5,5,5,5,5,3,5,5,5,5,5,6
299,6,5,5,5,5,5,5,5,5,2,5,5,5,5,5,6
300,6,1,1,1,1,1,1,1,1,4,1,1,1,1,1,6
301,6,1,1,1,1,1,1,1,1,5,1,1,1,1,1,6
302,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
303,6,1,1,1,1,1,1,1,1,0,1,1,1,1,1,6
304,6,1,1,1,1,1,1,1,1,3,1,1,1,1,1,6
305,6,1,1,1,1,1,1,1,1,2,1,1,1,1,1,6
306,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6
307,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6
